id,roleId,brandName,yn
4135,962,AUTOSOL,1
4136,962,BROADWAY,1
4137,962,CARALL,1
4138,962,CMI,1
4139,962,DECO-PIN,1
4140,962,EXOS,1
4141,962,MOST MARK,1
4142,962,NAPOLEX ,1
4143,962,S．T．CORPORATION,1
4144,962,SOFT99,1
4145,962,STP,1
4146,962,SWIPE,1
4147,962,WHIZ,1
4148,962,卡饰社,1
4149,962,牛魔王,1
4150,962,欧德素,1
4151,962,威宝,1
4152,962,威士,1
4153,962,吸水王,1
4154,962,香必飘,1
4155,963, NAPOLEX ,1
4156,963,AUTOSOL,1
4157,963,BROADWAY,1
4158,963,CARALL,1
4159,963,CMI,1
4160,963,DECO-PIN,1
4161,963,EXOS,1
4162,963,MOST MARK,1
4163,963,NAPOLEX ,1
4164,963,S．T．CORPORATION,1
4165,963,SOFT99,1
4166,963,SPOT SHOT,1
4167,963,STP,1
4168,963,SWIPE,1
4169,963,WHIZ,1
4170,963,卡饰社,1
4171,963,牛魔王,1
4172,963,欧德素,1
4173,963,威宝,1
4174,963,威士,1
4175,963,吸水王,1
4176,963,香必飘,1
4177,1235,探路者,1
4187,1236,莎洒,1
4188,1233,柏蒂,1
4189,1233,山联,1
4190,1229,I PIER,1
4191,1229,皮尔,1
4192,1229,皮尔瑜伽,1
4193,1230,爱尔瑜伽,1
4194,1230,菩尔,1
4195,1230,菩尔瑜伽,1
4196,1230,远阳,1
4197,1230,远阳瑜伽,1
4198,1231,E奈尔,1
4199,1232,孜兰瑜伽,1
4200,1228,迪玛森,1
4201,1225,红舞鞋,1
4202,1225,帕法伊,1
4204,1239,青鸟,1
4205,1239,伊梵娜,1
4220,1243,川崎,1
4234,1247,,1
4235,1247,哥仑步,1
4259,1253,三维,1
4260,1254,邦士度,1
4279,1258,锐弋,1
4280,1258,尤尼克斯,1
4312,1261,PRINCE,1
4313,1261,王子,1
4314,1262,ATB,1
4315,1262,DAIYA,1
4316,1262,GRAEC,1
4317,1262,GREENBAY,1
4318,1262,KENNETH SMITH,1
4319,1262,LITE,1
4320,1262,MIC,1
4321,1262,MYGOLF,1
4322,1262,ONLY,1
4323,1262,ONLY GOLF,1
4324,1262,Tabata,1
4325,1262,VSTEE,1
4326,1262,凯岭仕,1
4328,1264,天石,1
4338,1266,intex,1
4339,1266,创悦,1
4340,1266,双超,1
4341,1266,文舰,1
4342,1267,TrackMan自游人,1
4372,1280,诺可文,1
4373,1281,BLUE FOX,1
4374,1281,RAPALA,1
4375,1281,STORM,1
4376,1281,Sufix梭飞士,1
4377,1281,VMC,1
4378,1281,VMC法国世纪钩,1
4379,1281,蓝狐,1
4380,1281,乐伯乐,1
4381,1281,世尊,1
4382,1281,梭飞士,1
4383,1283,悍马,1
4384,1283,雷诺,1
4385,1283,山霸,1
4411,1284,嘎蒙特,1
4412,1285,KOVEA,1
4413,1285,傲游仕,1
4414,1285,大来,1
4415,1285,海德,1
4416,1285,凯图巅峰,1
4422,1288,爱康,1
4423,1288,力度空间,1
4424,1208,Fundango,1
4425,1208,King CAMP,1
4426,1208,KingCamp,1
4427,1208,泛高,1
4428,1208,康尔健野,1
4429,1208,赞布拉,1
4430,1290,东信,1
4431,1291,伊吉康,1
4433,1293,,1
4434,1293,乐烤,1
4435,1293,乐闲,1
4436,1293,诺美庭,1
4445,1295,健美王子,1
4465,1301,黒鹿,1
4466,1301,火枫,1
4467,1303,LP,1
4484,1307,,1
4485,1307,LIVTOR零度探索,1
4486,1307,零度探索,1
4489,1309,小二郎,1
4499,1313,吉星,1
4500,1315,东联,1
4501,1317,卡帕尼,1
4502,1317,世泰立,1
4503,1317,探戈,1
4504,1317,兹提拉斯,1
4506,1085,英特曼,1
4507,851,EURO KIDS,1
4508,851,宝贝第一,1
4509,851,宝得适,1
4574,873,格朗,1
4590,1362,创牌,1
4593,1364, Aisa,1
4594,1364,博世,1
4595,1364,博世（BOSCH）,1
4596,1364,劳达斯,1
4597,1364,万和,1
4598,1364,西门子,1
4657,1380,朵彩,1
4658,1380,生活元素,1
4689,1393,唯茶工坊,1
4759,1404,SIMELO,1
4760,1405,,1
4761,1405,爱仕达,1
4789,1397,乐美雅,1
4811,1413,美的,1
4812,1414,Hamam,1
4813,1414,Organic Japan,1
4814,1414,Softline,1
4815,1414,梦洁,1
4816,1414,梦洁家纺,1
4817,1414,觅,1
4823,1400,苏泊尔,1
4824,1417,苏泊尔,1
