id,name,operator,updateTime,createTime,yn,providerId
208,上海明宝工具有限公司,上海明宝工具有限公司管理员,2011-12-02 11:35:07.790,2011-12-02 11:35:07.790,1,163
209,美的日用家电集团-精品电器,美的日用家电集团-精品电器管理员,2011-12-02 11:47:50.060,2011-12-02 11:47:50.060,0,164
210,桑普小家电,桑普小家电管理员,2013-05-08 20:45:45.387,2011-12-05 18:39:15.170,1,165
211,西安三花良治-洗之朗管理员,洗之朗管理员,2013-01-21 18:16:20.760,2011-12-05 18:40:43.840,1,166
212,北京百合宏盛科技有限公司,北京百合宏盛科技有限公司管理员,2011-12-05 18:42:15.733,2011-12-05 18:42:15.733,1,167
213,同方管理员,,2011-12-06 18:23:42.577,2011-12-06 18:23:42.577,1,171
214,康佳管理员,,2011-12-06 18:51:19.527,2011-12-06 18:46:35.590,0,172
215,浙江贝乐卫浴科技有限公司,浙江贝乐卫浴科技有限公司管理员,2011-12-06 19:56:37.377,2011-12-06 19:56:37.377,1,174
216,熊猫管理员,南京中电熊猫家电有限公司,2011-12-07 09:24:25.643,2011-12-06 19:57:22.877,0,173
217,惠州比亚迪管理员,比亚迪LED灯管理员,2012-12-03 19:13:35.617,2011-12-06 19:58:15.050,1,175
218,天津市海燕电线电缆制造有限公司,天津市海燕电线电缆制造有限公司管理员,2011-12-06 19:59:28.143,2011-12-06 19:59:28.143,1,176
219,海蒂诗五金配件（上海）有限公司,海蒂诗五金配件（上海）有限公司管理员,2011-12-06 20:00:41.347,2011-12-06 20:00:41.347,1,177
220,北京远东美居建材有限公司,北京远东美居建材有限公司管理员,2011-12-06 20:02:00.777,2011-12-06 20:02:00.777,1,178
221,宁波欧琳厨具有限公司北京营销分公司,宁波欧琳厨具有限公司北京营销分公司管理员,2011-12-06 20:03:26.600,2011-12-06 20:03:26.600,1,179
222,北京嘉华信诚-莱尔诗丹&华盛汉舍管理员,莱尔诗丹&华盛汉舍管理员,2013-01-08 16:03:29.903,2011-12-06 20:04:52.870,1,180
223,深圳创维-RGB电子有限公司,创维管理员,2011-12-07 13:15:24.010,2011-12-06 20:09:17.177,1,181
224,青岛海信电器股份有限公司,海信管理员,2011-12-07 09:23:46.150,2011-12-06 20:12:06.263,1,182
225,青岛海信电器股份有限公司,海信管理员,2011-12-07 09:26:37.177,2011-12-07 09:13:07.640,0,182
226,南京中电熊猫家电有限公司,熊猫管理员,2011-12-07 12:58:11.850,2011-12-07 09:15:13.933,1,173
227,康佳集团股份有限公司深圳销售分公司 ,康佳管理员,2012-10-15 11:57:56.713,2011-12-07 09:16:00.460,1,172
228,查询,库存/销量,2011-12-07 09:58:22.823,2011-12-07 09:57:26.340,0,73
229,海信查询,库存/销量,2011-12-07 10:15:28.647,2011-12-07 10:15:28.647,0,182
230,海信电视平台,,2011-12-07 10:18:03.773,2011-12-07 10:18:03.773,0,182
231,海信电视平台,海信管理员1,2011-12-07 10:19:12.550,2011-12-07 10:19:12.550,0,182
232,合肥三洋-微波炉,合肥三洋-微波炉,2011-12-07 10:28:19.780,2011-12-07 10:28:19.780,1,149
233,创维查询,订单管理,2011-12-07 13:16:06.477,2011-12-07 10:33:17.843,1,181
234,海信电视平台,海信管理员1,2011-12-07 11:35:28.997,2011-12-07 11:35:28.997,0,182
235,康佳查询,库存/销量/订单查询,2011-12-07 14:15:42.110,2011-12-07 13:55:01.653,1,172
236,scchdqcx,订单\库存查询\结算,2011-12-07 14:38:06.863,2011-12-07 14:35:43.623,1,74
237,深圳市天杰电子有限公司,讯拓键鼠,2011-12-08 15:52:59.447,2011-12-08 15:52:59.447,1,353
238,深圳市中远航科技有限公司,深圳市中远航科技有限公司,2012-11-29 13:26:13.890,2011-12-08 17:29:46.013,1,20
239,北京银雪马科贸有限公司,北京银雪马科贸有限公司,2011-12-08 18:55:17.440,2011-12-08 18:55:17.440,1,362
240,海林电脑科技（深圳）有限公司,海林电脑科技（深圳）有限公司,2011-12-08 19:07:19.837,2011-12-08 19:07:19.837,1,363
241,深圳市大乘科技有限公司,深圳市大乘科技有限公司,2012-03-12 17:35:47.140,2011-12-08 19:56:14.947,1,364
