id,providerName,providerErpId,providerCode,createTime,updateTime,yn,OWN_SIGN,providerAccount,STS,DRES,GODS
159,北京广录天源经贸有限公司,5458,bjglty,2011-12-02 11:24:02.330,2011-12-02 11:24:02.330,1,BASE,bjglty,B,N,N
160,福州盈泰自动化科技有限公司,9959,fzytzdh,2011-12-02 11:27:21.933,2011-12-02 11:27:21.933,1,BASE,fzytzdh,B,N,N
161,力易得格林利工具（上海）有限公司,11865,lydgll,2011-12-02 11:31:38.597,2011-12-02 11:31:38.597,1,BASE,lydgll,B,N,N
162,居家伴侣（北京）装饰材料有限公司,5451,jjblbjzs,2011-12-02 11:33:12.600,2011-12-02 11:33:12.600,1,BASE,jjblbjzs,B,N,N
163,上海明宝工具有限公司,5935,shmbgj,2011-12-02 11:34:38.880,2011-12-02 11:34:38.880,1,BASE,shmbgj,B,N,N
164,北京博深太平商贸有限公司,164,bjbstpsm,2011-12-02 11:45:52.200,2011-12-02 11:45:52.200,1,BASE,bjbstpsm,B,N,N
165,北京桑普曙光科贸有限责任公司,5934,bjspsg,2011-12-05 18:38:23.883,2011-12-05 18:38:23.883,1,BASE,bjspsg,B,N,N
166,西安三花良治电器有限公司,5566,xashlzdq,2011-12-05 18:40:06.243,2011-12-05 18:40:06.243,1,BASE,xashlzdq,B,N,N
167,北京百合宏盛科技有限公司,4338,bjbhh,2011-12-05 18:41:46.360,2011-12-05 18:41:46.360,1,BASE,bjbhh,B,N,N
168,生活、读书、新知三联书店有限公司,5038,bk0301,2011-12-06 11:31:08.147,2011-12-06 11:31:08.147,1,BASE,bk0301,B,B,B
169,上海文艺出版集团发行有限公司,4713,bk0018,2011-12-06 11:35:19.323,2011-12-06 11:35:19.323,1,BASE,bk0018,B,B,B
170,世界知识出版社发行部,4775,bk0020,2011-12-06 11:38:24.110,2011-12-06 11:38:24.110,1,BASE,bk0020,B,B,B
171,同方股份有限公司,2493,tfang,2011-12-06 18:23:05.790,2011-12-06 18:23:05.790,1,BASE,tfang,B,B,B
172,康佳集团股份有限公司深圳销售分公司,10179,kjjtsz ,2011-12-06 18:45:48.300,2011-12-06 18:45:48.300,1,BASE,kjjtsz,B,B,B
173,南京中电熊猫家电有限公司,13181,njzdxm,2011-12-06 19:53:06.840,2011-12-06 19:53:06.840,1,BASE,njzdxm,B,B,B
174,浙江贝乐卫浴科技有限公司,10558,zjblwy,2011-12-06 19:56:09.950,2011-12-06 19:56:09.950,1,BASE,zjblwy,B,N,N
175,惠州比亚迪实业有限公司,10306,hzbyd,2011-12-06 19:57:46.803,2011-12-06 19:57:46.803,1,BASE,hzbyd,B,N,N
